loan_id,customer_id,loan_purpose,loan_amount,outstanding_balance,interest_rate,tenure_months,emi_amount,disbursal_date,loan_status
LN00001,CUST00001,Home Loan,2928000,2022517.16,7.61,84,45069.6,2020-08-09,Active
LN00002,CUST00002,Business Loan,644000,216389.14,11.13,120,8918.56,2019-12-04,Written-Off
LN00003,CUST00003,Home Loan,2982000,2178576.63,9.06,84,48068.48,2023-06-09,Active
LN00004,CUST00004,Gold Loan,96000,32186.84,8.74,48,2377.13,2019-02-27,Written-Off
LN00005,CUST00005,Home Loan,2798000,1909677.88,7.71,84,43207.07,2019-03-02,Active
LN00006,CUST00006,Education Loan,583000,416363.64,8.22,84,9150.8,2020-02-28,Active
LN00007,CUST00007,Home Loan,2402000,1647977.97,8.13,48,58786.53,2023-06-20,Active
LN00008,CUST00008,Personal Loan,304000,163836.61,13.6,36,10331.04,2019-09-30,90+ DPD
LN00009,CUST00009,Auto Loan,846000,634163.56,9.77,60,17879.41,2019-08-14,Active
LN00010,CUST00010,Home Loan,2063000,1373136.67,7.44,84,31581.81,2022-09-22,Active
LN00011,CUST00011,Personal Loan,328000,105902.9,13.03,60,7468.05,2023-03-31,Written-Off
LN00012,CUST00012,Personal Loan,268000,188231.98,13.94,36,9151.8,2020-12-24,Active
LN00013,CUST00013,Personal Loan,440000,282874.43,14.77,36,15203.23,2022-10-14,30 DPD
LN00014,CUST00014,Personal Loan,349000,217168.76,13.54,84,6451.9,2021-06-25,30 DPD
LN00015,CUST00015,Education Loan,343000,194300.21,10.33,180,3755.45,2022-09-24,60 DPD
LN00016,CUST00016,Home Loan,3863000,1261651.68,9.08,180,39365.17,2021-05-13,Written-Off
LN00017,CUST00017,Home Loan,3251000,1801045.13,8.04,60,65980.81,2021-04-17,60 DPD
LN00018,CUST00018,Personal Loan,191000,116640.83,14.25,120,2994.37,2019-12-04,30 DPD
LN00019,CUST00019,Business Loan,542000,384220.92,12.9,12,48384.54,2023-02-21,Active
LN00020,CUST00020,Business Loan,632000,312716.91,11.61,120,8925.45,2020-01-12,90+ DPD
LN00021,CUST00021,Personal Loan,212000,158335.77,13.51,60,4879.18,2023-09-08,Active
LN00022,CUST00022,Business Loan,1045000,577755.01,11.55,84,18196.57,2022-07-16,60 DPD
LN00023,CUST00023,Education Loan,512000,337680.54,8.49,12,44654.16,2023-07-13,Active
LN00024,CUST00024,Home Loan,3051000,1701046.18,9.32,120,39179.14,2019-06-03,60 DPD
LN00025,CUST00025,Home Loan,2267000,1612753.1,9.78,60,47922.02,2021-10-28,Active
LN00026,CUST00026,Personal Loan,277000,88832.46,13.45,36,9393.38,2019-10-09,Written-Off
LN00027,CUST00027,Home Loan,2584000,1730348.3,8.07,48,63167.93,2022-11-22,Active
LN00028,CUST00028,Auto Loan,936000,648848.08,10.85,36,30576.99,2022-06-23,Active
LN00029,CUST00029,Auto Loan,303000,208399.52,10.94,48,7822.37,2022-03-03,Active
LN00030,CUST00030,Auto Loan,646000,480440.23,9.31,48,16171.0,2023-08-07,Active
LN00031,CUST00031,Home Loan,3489000,2231654.62,8.61,60,71767.29,2022-06-04,Active
LN00032,CUST00032,Education Loan,510000,222582.7,11.08,120,7048.37,2021-11-23,NPA
LN00033,CUST00033,Personal Loan,273000,86104.73,14.96,240,3586.77,2022-08-12,Written-Off
LN00034,CUST00034,Personal Loan,227000,150418.76,12.76,36,7622.31,2020-04-19,Active
LN00035,CUST00035,Gold Loan,191000,96119.95,7.89,24,8628.83,2022-03-09,90+ DPD
LN00036,CUST00036,Home Loan,2139000,1511378.5,8.78,48,53005.94,2020-01-20,Active
LN00037,CUST00037,Personal Loan,256000,163493.94,14.07,24,12299.77,2022-08-01,Active
LN00038,CUST00038,Auto Loan,986000,703578.02,10.58,120,13348.8,2022-05-17,Active
LN00039,CUST00039,Business Loan,686000,466857.34,12.44,60,15412.66,2022-01-10,Active
LN00040,CUST00040,Home Loan,3724000,2760752.06,8.73,60,76817.04,2022-12-27,Active
LN00041,CUST00041,Education Loan,525000,378601.32,9.16,36,16733.98,2023-11-19,Active
LN00042,CUST00042,Business Loan,1007000,700170.46,11.49,84,17502.83,2022-11-24,Active
LN00043,CUST00043,Personal Loan,326000,242721.46,14.14,240,4087.07,2022-10-10,Active
LN00044,CUST00044,Home Loan,2516000,1798519.77,7.94,60,50943.19,2020-10-10,Active
LN00045,CUST00045,Auto Loan,589000,429031.8,8.67,180,5858.96,2021-08-12,Active
LN00046,CUST00046,Home Loan,2758000,958981.9,8.62,12,240705.44,2019-12-30,Written-Off
